mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,recovery_noise_std,shock_probability,composition,leader_index,leader_name,leader_role
centralized_risk_averse,2,72.05079116369609,75.43663528817606,False,,100,573.0,114.07455719165912,570.3727859582956,2.56,2.285221017606913,6.0,600,100,0.002479020997270709,0.95,"{'Growth Department': 116.0, 'Trading/Opportunity Team': 117.0, 'Compliance Department': 111.0, 'Operations Department': 112.0, 'Risk Department': 114.37278595829557}",116.5,111.0,112.0,114.37278595829557,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,3,78.90809757286395,77.47786112445681,False,,100,535.0,106.7031702607039,533.5158513035195,1.28,1.1656638014153837,3.0,600,100,0.0024391959996137302,0.98,"{'Growth Department': 108.0, 'Trading/Opportunity Team': 108.0, 'Compliance Department': 105.0, 'Operations Department': 106.0, 'Risk Department': 106.5158513035195}",108.0,105.0,106.0,106.5158513035195,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,4,73.25692691233272,77.33456802243919,False,,100,543.0,108.26698658033645,541.3349329016822,1.76,1.5972332877967785,4.0,600,100,0.0023656720004510134,0.97,"{'Growth Department': 110.0, 'Trading/Opportunity Team': 110.0, 'Compliance Department': 107.0, 'Operations Department': 106.0, 'Risk Department': 108.33493290168227}",110.0,107.0,106.0,108.33493290168227,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,5,71.99204560902533,77.47524802726686,False,,100,537.0,107.11728660843173,535.5864330421587,2.08,1.9118118615778286,5.0,600,100,0.0023669740003242623,0.97,"{'Growth Department': 109.0, 'Trading/Opportunity Team': 109.0, 'Compliance Department': 104.0, 'Operations Department': 106.0, 'Risk Department': 107.5864330421587}",109.0,104.0,106.0,107.5864330421587,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,6,74.88158295993222,75.44702500412345,False,,100,570.0,113.49846650611896,567.4923325305948,3.04,2.7562551439683247,8.0,600,100,0.0024462809997203294,0.95,"{'Growth Department': 117.0, 'Trading/Opportunity Team': 115.0, 'Compliance Department': 109.0, 'Operations Department': 112.0, 'Risk Department': 114.4923325305948}",116.0,109.0,112.0,114.4923325305948,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,7,77.87716461930721,76.91414818645498,False,,100,544.0,108.44717856132749,542.2358928066375,1.44,1.3457936013868304,3.0,600,100,0.002337784000701504,0.97,"{'Growth Department': 110.0, 'Trading/Opportunity Team': 110.0, 'Compliance Department': 107.0, 'Operations Department': 107.0, 'Risk Department': 108.23589280663745}",110.0,107.0,107.0,108.23589280663745,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,8,78.51900117055997,76.06518441958579,False,,100,560.0,111.54774252742618,557.7387126371309,2.08,1.8463795372837504,5.0,600,100,0.002382812002906576,0.96,"{'Growth Department': 113.0, 'Trading/Opportunity Team': 114.0, 'Compliance Department': 109.0, 'Operations Department': 110.0, 'Risk Department': 111.73871263713087}",113.5,109.0,110.0,111.73871263713087,0.01,0.0,standard,4.0,Risk Department,risk_averse
centralized_risk_averse,9,75.13739122500944,75.97685979216187,False,,100,562.0,111.9321263644423,559.6606318222115,2.0257010915538443,1.8661940013031566,5.0,600,100,0.0022882660014147405,0.95,"{'Growth Department': 115.0, 'Trading/Opportunity Team': 112.0, 'Compliance Department': 110.0, 'Operations Department': 110.0, 'Risk Department': 112.66063182221153}",113.5,110.0,110.0,112.66063182221153,0.01,0.0,standard,4.0,Risk Department,risk_averse
structured_debate,0,2.3112782652849404,45.447505515876244,True,44.0,45,384.0,61.31341059249748,306.5670529624874,33.59260390955109,31.059866819757502,78.0,675,90,0.0016175669989024755,0.6,"{'Growth Department': 98.0, 'Trading/Opportunity Team': 97.0, 'Compliance Department': 20.0, 'Operations Department': 48.52082739718171, 'Risk Department': 43.04622556530569}",97.5,20.0,48.52082739718171,43.04622556530569,0.01,0.0,standard,,,
structured_debate,1,4.578114286320259,45.3819472454829,True,50.0,51,423.0,67.5629793626357,337.8148968131785,37.74587368118725,34.509499139745046,89.0,765,102,0.001766478999343235,0.5882352941176471,"{'Growth Department': 110.0, 'Trading/Opportunity Team': 105.0, 'Compliance Department': 21.0, 'Operations Department': 54.726607320598774, 'Risk Department': 47.08828949257972}",107.5,21.0,54.726607320598774,47.08828949257972,0.01,0.0,standard,,,
