mechanism,composition,scale,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,leader_index,leader_name,leader_role
centralized_sustainability,standard,wide,60.984831649472504,10.77239047081867,62.795943333476565,2.2655940997049324,100.0,0.0,665.3,20.583846502588024,130.88991221787563,3.9399544513742923,654.4495610893781,19.69977225687145,16.524502555946363,2.68065404155046,17.725388155354942,2.2530769675979254,45.92770206404292,6.087687019413506,600.0,0.0,100.0,0.0,0.0026199160996839056,0.0004732010766519145,0.967,0.016889735281961568,0.0,141.5,5.5866381944591215,142.9,5.7847349027191255,131.57726315342106,7.078587524163258,96.97229793595709,2.4358693227895576,2.0,Compliance Department,sustainability
centralized_risk_averse,standard,wide,67.43555601560534,9.93574775797278,69.97151278352516,3.0089123274745475,100.0,0.0,586.6,22.748973371861954,116.07727117521753,4.176966337771128,580.3863558760877,20.88483168885565,5.347679290550609,2.449572185699998,4.935415397865446,2.224467779548475,13.201386271141079,5.672052057785655,600.0,0.0,100.0,0.0,0.002396658149882569,0.00018384994481851014,0.9664999999999999,0.0159851905146443,0.0,120.8,5.9524431074449105,108.7,2.5360557855395105,113.38469890546432,3.8898865362146804,116.70165697062335,5.757594387321396,4.0,Risk Department,risk_averse
structured_debate,standard,wide,2.169419535894724,1.6980627048588142,37.92329005611638,2.6038806522528493,13.9,2.100125309544522,166.2,20.389883972721684,21.35305827743061,3.355263090326706,106.76529138715303,16.776315451633533,21.22925821789496,3.014844707829795,19.49182074800919,2.7903504558922183,50.2,7.237330127085613,208.5,31.50187964316783,27.8,4.200250619089044,0.0007860598501792992,0.00017884848381657803,0.3999913321972145,0.0913290812827379,1.0,44.0,5.947135533400226,-4.1,4.241399967488391,12.227024544363276,4.1402800844286975,10.638266842789765,2.6400686505976414,,,
independent,aggressive,wide,1.0611314314960343,1.4840103384960195,35.85762432925754,2.7055675477038186,8.05,0.7591546545162482,135.85,9.761767527612912,19.91599369245536,1.860006830446193,99.57996846227681,9.300034152230964,12.780753698978613,1.055308290027351,12.287825150009464,1.0987769444629538,28.10967908089313,2.288782282779377,0.0,0.0,0.0,0.0,0.00030331144989759196,3.61156840294228e-05,0.0,0.0,1.0,29.78333333333333,2.509106222360409,,,5.358745833646878,2.9519701426145626,4.871222628629921,2.4021519082487703,,,
voting,aggressive,wide,0.8526067084593827,1.43145620155766,34.358603787026006,2.771079042011457,5.85,0.9880869341680845,125.75,11.035230663174815,18.285524375871198,1.9280273770862846,91.427621879356,9.640136885431422,2.663909526225605,0.5663419207333223,2.844129494949061,0.6782254478123053,7.327056418266021,1.760473767700593,29.25,4.940434670840422,5.85,0.9880869341680845,0.00026505044970690503,3.485006837208878e-05,1.0,0.0,1.0,20.15,2.207046132634963,,,12.82294358173398,1.2953600762413369,18.15467829762201,2.182505123864259,,,
adaptive_voting,aggressive,wide,2.3195022472391607,1.4542812038509783,30.214245164200925,4.337799050173471,12.75,5.014452795879652,154.75,32.74603230284468,22.081282654130682,5.466419115167673,110.40641327065342,27.332095575838366,5.8410221524126005,2.2226298336193793,6.709423052067011,2.7207516179779865,17.162801723232167,6.8852142313207585,63.75,25.07226397939826,12.75,5.014452795879652,0.0004387930503071402,0.00010834766457465517,1.0,0.0,1.0,25.95,6.549206460568936,,,8.787198276767832,4.249409408910638,23.769214993885583,6.349641112664515,,,
centralized_profit,aggressive,wide,1.1169809738034597,1.579493171845254,36.401177592403194,3.3085122818941057,8.4,1.1424811411549587,138.0,11.814353446906058,20.319716225589932,2.2481030325739457,101.59858112794964,11.240515162869729,12.655953366690994,1.0943421787567829,12.279779228174354,1.140980286321389,27.698289669768343,2.2556527284422443,50.4,6.854886846929753,8.4,1.1424811411549587,0.00031170780002867107,3.8449802614087656e-05,0.10240800865800866,0.11978183450073057,1.0,30.2,2.9227880625319944,,,5.7840131962901715,3.0914508409786663,5.214567931659469,2.5718210074609744,0.0,Growth Department,profit
centralized_risk_averse,aggressive,wide,59.67602755590862,22.734953505094314,68.13278085258263,4.3468955872496124,96.75,10.567452513807618,578.15,58.07461171902736,113.32364836216459,14.236534518157479,566.6182418108231,71.18267259078739,4.297674290601842,3.0815385951035794,4.428343878626912,3.6203756848443778,11.510929590459645,9.663407040128332,580.5,63.40471508284571,96.75,10.567452513807618,0.0024858864990164875,0.0006178425183775533,0.9660404858299595,0.01601859892153692,0.1,116.15,12.990538617288026,,,106.15974108014355,20.894417151847815,112.00850073067939,12.387961404911799,4.0,Risk Department,risk_averse
structured_debate,aggressive,wide,2.9395543774006363,1.6426041059123693,29.966611639009464,4.128226620779102,18.35,4.749238166053028,178.35,27.602965134393195,25.121928438552647,3.9825029165366232,125.6096421927632,19.912514582683112,15.344383223906295,3.1754166913965234,14.72171243538107,3.2102665388444933,36.862037342177544,9.441385885145465,275.25,71.23857249079543,36.7,9.498476332106057,0.0007666975001484388,0.00013194773773665236,0.7820119843749874,0.07154927002665419,1.0,36.41666666666667,5.866821170214314,,,1.9900564451157734,5.887449049326243,14.369585747647449,5.444980621773308,,,
independent,conservative,wide,1.4056413735831181,1.6628139239762536,37.462121438800665,2.570190303023468,16.6,2.3033156878497434,181.8,22.208580608214902,18.889886007821826,4.08622934648903,94.44943003910912,20.431146732445153,26.212127411381097,3.3006589426302426,25.95428695490021,3.111765420602416,72.15,8.731521842394402,0.0,0.0,0.0,0.0,0.0004524093999862089,4.33246145870514e-05,0.0,0.0,1.0,67.6,8.696036604774553,-2.6,5.051315618102299,16.628730190849517,5.398938862587628,15.420699848259598,4.641567476569362,,,
